respondent_id,party_name,country_name,is_populist,populist_and_farleft,populist_and_farright,income_decile,income_feeling,paid_work,econ_satisfaction,unemp_3m,years_education,financial_difficulty_childhood,immig_same_ethnic,immig_diff_ethnic,immig_poor_nonEU,gay_rights_freedom,gay_adoption_rights,eu_integration,europe_attachment,country_attachment,child_obedience,leader_loyalty,tradition_important,pleasure_important,trust_politicians,trust_parties,trust_parliament,influence_on_politics,confident_participation,active_politics_role,political_interest,left_right_scale,party_closeness,ess_round,age,gender,ethnic_majority_identity,disc_nationality,disc_race,disc_ethnicity,born_in_country,citizen,how_religious,religion_belonging,religion_attendance,vote_x,vote_code,farright,farleft,eurosceptic,in_parliament,partyfacts_id,parlgov_id,vote_y
71610,PP,Spain,0,0,0,8,2,1,2,2,13,3,3,4,3,2,5,3,7,10,3,3,3,3,5,2,4,2,2,3,2,0,1,11,52,1,1,0,0,0,1,1,5,1,4,1,1.0,0,0,,,,,1
71694,PSOE,Spain,0,0,0,2,2,0,3,2,3,2,3,3,3,4,3,5,8,9,2,2,6,3,4,4,7,1,2,1,4,3,1,11,78,2,2,0,0,0,1,1,0,2,7,1,2.0,0,0,,,,,1
71750,PP,Spain,0,0,0,2,2,0,5,2,6,4,2,2,2,1,1,6,8,10,1,2,1,4,5,2,0,2,1,1,2,8,1,11,81,2,1,0,0,0,1,1,10,1,3,1,1.0,0,0,,,,,1
71797,PSOE,Spain,0,0,0,10,1,1,7,2,13,5,2,2,2,2,2,5,8,10,2,2,4,4,8,7,8,2,3,2,2,4,1,11,59,2,1,0,0,0,1,1,8,1,6,1,2.0,0,0,,,,,1
71855,Vox,Spain,1,0,1,7,1,0,5,2,12,4,2,3,3,2,2,2,4,7,2,2,2,1,2,2,3,2,2,2,2,7,1,11,69,1,1,0,0,0,1,1,2,1,7,1,3.0,1,0,1.0,1.0,3218.0,2380.0,1
71855,Vox,Spain,1,0,1,3,4,0,0,1,14,3,4,4,4,1,1,3,3,3,2,4,6,3,0,0,0,1,1,1,4,8,1,11,41,1,1,0,0,0,1,1,0,2,7,1,3.0,1,0,1.0,1.0,3218.0,2380.0,1
71856,PP,Spain,0,0,0,3,3,1,1,1,18,4,2,2,2,1,1,7,5,9,2,4,1,1,0,0,5,1,5,5,2,10,1,11,44,2,1,0,0,0,1,1,6,1,7,1,1.0,0,0,,,,,1
71908,SUMAR,Spain,0,0,0,10,1,1,4,2,16,3,2,3,3,2,2,5,6,6,2,2,2,3,7,6,6,3,2,2,2,3,1,11,34,2,1,0,0,0,1,1,5,1,5,1,4.0,0,0,,,,,1
71908,SUMAR,Spain,0,0,0,7,2,1,5,1,21,4,2,2,2,1,1,8,3,3,2,3,4,2,2,2,7,2,2,2,2,3,1,11,28,1,1,0,0,0,2,1,0,2,7,1,4.0,0,0,,,,,1
71967,PSOE,Spain,0,0,0,3,2,1,6,2,16,5,2,3,2,1,1,7,8,10,3,3,5,2,3,3,3,3,3,2,3,3,2,11,33,2,1,0,0,0,1,1,0,2,7,1,2.0,0,0,,,,,1
