domain,person_name,person_facebook_url,person_twitter_url,person_linkedin_url,country_code
unit21.ai,Trisha Kothari,,,,
uniteus.com,Andrew Price,,,,
ika.xyz,Yehonatan Cohen Scaly,,,,
cloudera.com,Rob Bearden,,,linkedin.com/in/rob-bearden-16069431,USA
cloudflare.com,Lee Holloway,,,,
cloudflare.com,Yair Dovrat,,,linkedin.com/in/yair-dovrat-375919b0,
illimity.com,Corrado Passera,,,,
ilmakiage.com,Oran Holtzman,,,,
cloudkitchens.com,Travis Kalanick,facebook.com/traviskal,twitter.com/travisk,linkedin.com/in/traviskalanick,USA
clubfunding.eu,David El Nouchi,,,,
clutch.ca,Dan Park,,twitter.com/parkdan,linkedin.com/in/danpark1,CAN
cmrsurgical.com,Luke Hares,,twitter.com/luke_hares,linkedin.com/in/luke-hares-70545ab,GBR
urbanvolt.com,Declan Barrett,,,,
coda.co,Bobby Choi,,,,
coda.co,Shane Happach,,,linkedin.com/in/shanehappach,SGP
coda.io,Alex DeNeui,,,,
coda.io,Shishir Mehrotra,,,,
codametrix.com,Hamid Tabatabaie,,,linkedin.com/in/hamid-tabatabaie-116b855,USA
usercentrics.com,Lisa Gradow,,,,
addepar.com,Joe Lonsdale,,,,
aircall.io,Olivier Paihes,,,,
coherus.com,Dennis M. Lanfear,,,linkedin.com/in/dennislanfear,USA
coimmune.com,Charles A. Nicolette,,,linkedin.com/in/charles-nicolette-26128344,USA
vay.io,Bogdan Djukic,,,,
amberdata.io,TongTong Gong,,,,
colossal.com,Kent Wakeford,,,,
colossal.com,Vincent Cordero,,,,
venn.city,David Sherez,,,,
comanchebiopharma.com,Thomas Scott Johnson,,,linkedin.com/in/t-scott-johnson-15038290,USA
comanchebiopharma.com,Mike Young,,,,
verafin.com,Raymond Pretty,,,,
commerceiq.ai,Guru Hariharan,,,,
verbit.ai,Tom Livne,,,,
companion-spine.com,Erick Cloix,facebook.com/profile.php?id=100008140089761,,linkedin.com/in/erick-cloix-252a46b0,USA
complementtx.com,Parisa Zamiri,facebook.com/parisa.zamiri,,linkedin.com/in/parisa-zamiri-434a628,GBR
complementtx.com,Richard Unwin,,,,
complex.com,Aaron Levant,,,,
complex.com,Rich Antoniello,,,linkedin.com/in/richantoniello,USA
complyadvantage.com,Charles Delingpole,,,,
vice.com,Brian Merchant,,,,
connectedkerb.com,Chris Pateman-Jones,,,linkedin.com/in/chris-pateman-jones,GBR
constantcontact.com,Frank Vella,,,linkedin.com/in/frank-vella-43441a,USA
aspenneuroscience.com,Jeanne Loring,,,,
asteralabs.com,Casey Morrison,,,,
asteralabs.com,Jitendra Mohan,,,,
contractpodai.com,Viraj Chaudhary,,,,
auto1-group.com,Christian Bertermann,,,,
avidbots.com,Faizan Sheikh,,,,
avidbots.com,Pablo Molina,,,,
coolblue.nl,Pieter Zwart,,,,
copado.com,Ted Elliott,,,linkedin.com/in/tedelliott,USA
vizgen.com,Jiang He,,,,
coralogix.com,Ariel Assaraf,facebook.com/ariel.assaraf,twitter.com/ArielAssaraf,linkedin.com/in/ariel-assaraf-ab621896,ISR
corepower.energy,Mikal Boe,,,linkedin.com/in/mikalboe,GBR
corepower.energy,Mikal Bøe,,,,
cornershopapp.com,Daniel Undurraga,,,,
cornerstoneondemand.com,Onur Genc,,,linkedin.com/in/onur-genc-6863205/?originalSubdomain=es,ESP
cornishlithium.com,Jeremy Wrathall,,,,
corteriapharma.com,Philip Janiak,,,linkedin.com/in/philip-janiak-706512b6,FRA
cortica.com,Igal Raichelgauz,,,,
cortica.com,Karina Odinaev,,,linkedin.com/pub/karina-odinaev/5/7a7/932,ISR
cortica.com,Yehoshua (Josh) Zeevi,,,,
corxelbio.com,Joseph Romanelli,,,,CHN
coterieinsurance.com,Kevin Mackey,,,,
courpharma.com,Daniel Getts,,,,
courpharma.com,John J. Puisis,,,linkedin.com/in/jpuisis,USA
coursehero.com,Jared Grauer,,,,
craigslist.org,Craig Newmark,,,,
craigslist.org,Jim Buckmaster,,twitter.com/jimbuckmaster,linkedin.com/in/jim-buckmaster-40902011b,USA
irobot.com,Rodney Brooks,,,,
is.com,Tamir Carmi,,,,
atomwise.com,Abraham Heifets,,,,
cred.club,Kunal Shah,,,,
creditas.com,Sergio Furio,,,,
creditkarma.com,Kenneth Lin,,,,
crehana.com,Diego Olcese Diaz,,,,
crescendobiologics.com,David Brown,,,,
crescendobiologics.com,Theo Harold,,,linkedin.com/in/theodora-harold-8991998,GBR
atomwise.com,Alexander Levy,,,,
acrisure.com,Greg Williams,,,linkedin.com/in/greg-williams-acrisure,USA
criteo.com,JB Rudelle,,,,
criteo.com,Dominique Vidal,,,linkedin.com/in/dominique-vidal-7790856,FRA
criteo.com,Romain Niccoli,,,,
atomwise.com,Dr. Izhar Wallach,,,,
crossbeam.com,Tim Sherwood,,,linkedin.com/in/tim-sherwood-a504b611,
csrbtx.com,Zerui Wang,,,,HKG
cstonepharma.com,Frank Jiang,,,linkedin.com/in/frank-jiang-%E6%B1%9F%E5%AE%81%E5%86%9B-1ab11812,CHN
cultureamp.com,Didier Elzinga,,,,
cultureamp.com,Douglas English,,,,
cultureamp.com,Rod Hamilton,,,,
curated.com,Eduardo Vivas,,,,
what3words.com,Chris Sheldrick,,,,
ju.st,Josh Balk,,,,
cvent.com,Jimmy Chin,,,linkedin.com/in/jimmychin,USA
cxmt.com,Yiming Zhu,,,,CHN
cybereason.com,Eric Gan,,,,USA
cyclone-robotics.com,Yuguang Vincent Gao,,,linkedin.com/in/yuguang-vincent-gao-79513552,CHN
cymulate.com,Avihai Ben-Yossef,,,,
czb365.com,Weilin Sun,,,,
d1brands.io,Razak Malas,,,,
d1brands.io,Yazan Malas,,,,
d3bio.com,George Chen,,,linkedin.com/in/george-chen-md-mba-4a85a030,CHN
d3bio.com,John J.,,,,
daaz.com,Karriem Adams,,,linkedin.com/in/karriemadams,USA
daaz.com,Or Agassi,,,,
dacadoo.com,Peter Ohnemus,,twitter.com/peterohnemus,linkedin.com/in/peter-ohnemus-4489721b6,CHE
dacbiotech.com,Robert Yongxin Zhao,,,linkedin.com/in/robert-zhao-9277b116b,CHN
dalcorpharma.com,Robert McNeil,,,linkedin.com/in/robert-mcneil-9601ab,CAN
king.com,Sebastian Knutsson,,,,
dankegongyu.com,Jing Gao,,,,
dapperlabs.com,Dieter Shirley,,,,
dapperlabs.com,Mik Naayem,,,,
dascena.com,Steven Goldman,,,linkedin.com/pub/steve-goldman/28/382/599,USA
wolt.com,Lauri Andler,,,,
wolt.com,Oskari Pétas,,,,
databook.com,Alex Barrett,,,,
databook.com,Iñigo Beitia,,,,
databook.com,Anand Shah,,,,
klook.com,Ethan Lin,,,,
knock.com,Jamie Glenn,,,,
knotel.com,Amol Sarva,,,,
koloma.com,Pete Johnson,,,,
workhuman.com,Eric Mosley,,,,
worldremit.com,Catherine Wines,,,,
dby.cn,Yaopeng Zhang,,,,CHN
wp.pl,Marek Borzestowski,,,,
wp.pl,Jacek Kawalec,,,,
dealer.com,"Richard Gibbs, Jr.",,,linkedin.com/in/rickgibbs,USA
dealer.com,Ryan Dunn,,,,
dealshare.in,Rajat Shikhar,,,,
deciphera.com,Daniel Flynn,,,,
deciphera.com,Steven L. Hoerter,,,linkedin.com/in/stevehoerter,USA
billie.io,Aiga Senftleben,,,,
billie.io,Artem Demchenkov,,,,
billie.io,Christian Grobe,,,,
deem.com,Krish Panu,,,linkedin.com/in/krish-panu-984974b5,USA
deem.com,Patrick Grady,,,,
deepexi.com,Jiehui Zhao,,,,
billie.io,Matthias Knecht,,,,
deepki.com,Vincent Bryant,,twitter.com/VB0,linkedin.com/in/vincentbryant1,FRA
deepl.com,Jaroslaw Kutylowski,,,,
xing.com,Alexander Birke,,,,
deeproute.ai,Maxwell Zhou,,,linkedin.com/in/maxwell-zhou-6595aa35,CHN
billie.io,Michael Hartmann,,,,
deepwatch.com,Charlie Thomas,,,linkedin.com/in/claytonthomas,USA
deepway.com,Alex Zhou,,,linkedin.com/in/alex-zhou-96198410,CHN
xsightlabs.com,Gal Malach,,,,
xsightlabs.com,Guy Koren,,,,
billiontoone.com,Oguzhan Atay,,,,
billiontoone.com,Sukrit Silas,,,,
leapfinance.com,Vaibhav Singh T,,,,
deliveryhero.com,Niklas Ostberg,facebook.com/niklas.oestberg,twitter.com/niklasoestberg,linkedin.com/in/oestberg,DEU
delphiatx.com,Michael D.,,,,
yammer.com,Alan Braverman,,,,
dembiopharma.com,Christoph Westphal,,twitter.com/drcwestphal,linkedin.com/in/christoph-westphal-00885288,USA
legendary.com,Meredith Walker,,,,
dena.com,Akinori Harada,facebook.com/aki.harada,,linkedin.com/pub/akinori-harada/a/890/149,JPN
dena.com,Tomoko Namba,,,,
deskera.com,Brajesh Sachan,,,,
deskera.com,Shashank Dixit,,twitter.com/shashark,linkedin.com/in/shashark,USA
deskera.com,Somesh Misra,,,,
despegar.com,Christian Vilate,,,,
devo.com,Gary Reiner,,,linkedin.com/in/garyreiner,USA
devrev.ai,Dheeraj Pandey,,,,
dgpays.com,ilyas Uyanık,,,,
dgpays.com,Serkan Omerbeyoglu,facebook.com/mustafa.omerbeyoglu,,linkedin.com/in/serkanomerbeyoglu,TUR
dianping.com,Bo Zhang,,,,CHN
dianxiaomi.com,Jianyin Du,,,,CHN
dianrong.com,Kevin Guo,,,,
dicetherapeutics.com,Kevin Judice,,,linkedin.com/in/kevin-judice-ba18016,USA
dicetherapeutics.com,Phillip A. Patten,,,,
zealandpharma.com,Bjarne Due Larsen,,,,
didiglobal.com,Wei Cheng,,,linkedin.com/in/franklol,CHN
digitaldiagnostics.com,John Bertrand,,,linkedin.com/in/john-bertrand-b193094,USA
digitaldiagnostics.com,Michael Abramoff,,,,
digitalrealty.com,Bart van den Dries,,,,
digitalrealty.com,Jeevan Gnanam,,,linkedin.com/in/jeevangnanam,USA
log9materials.com,Pankaj Sharma,,,,
log9materials.com,Kartik Hajela,,,,
ziprecruiter.com,Ward Poulos,,,,
discmedicine.com,Brian MacDonald,,,,
distrokid.com,Philip Kaplan,,,,
lucid.co,Darrell S.,,,,
zooplus.de,Florian Seubert,,,,
divvyhomes.com,Adena Hefets,,,,
divvyhomes.com,Nicholas Clark,,,,
dm-ai.cn,Mark Nitzberg,,,,
dm-ai.cn,Song-Chun Zhu,,,,CHN
dmall.com,Feng Zhang,,,,CHN
dmall.com,Wenzhong Zhang,,,,
docgo.com,Lee Bienstock,facebook.com/leebienstock,twitter.com/leebienstock,linkedin.com/in/leebienstock,USA
docgo.com,Stan Vashovsky,,,,
signifyd.com,Mike Liberty,,,,
dometic.com,Juan Vargues,,,linkedin.com/in/juan-vargues-9367639,HUN
sap.com,Bobby Lent,,,,
sap.com,Michael Brown,,,linkedin.com/in/michaelabrown1,USA
douyu.com,Zhang Wenming,,,,
8fig.co,Yaron Shapira,,,,
drconsulta.com,Guilherme Azevedo,,,,
drconsulta.com,Thomaz Srougi,,,linkedin.com/in/thomaz-srougi-7b9b8a/?locale=en_US,BRA
dream11.com,Sumit Sinha,,,in.linkedin.com/pub/sumit-sinha/0/4a2/705,IND
adctherapeutics.com,Stephen Evans-Freke,,,,
agbo.com,Mike Larocca,,,,
drivewealth.com,Robert Cortright,,,linkedin.com/in/robert-s-cortright-b72346b,USA
drivewealth.com,Robert S. Cortright,,,,
drivill.com,Mohammad Wahid Ujjal,facebook.com/expressionmo,twitter.com/Mow_ujjal,linkedin.com/in/mohammad-w-ujjal-a1439a41,USA
drivill.com,Mohammad W Ujjal,,,,
aboutyou.de,Sebastian Betz,,,,
alibaba.com,Dmitriy Shkiliov,,,,
allogene.com,David Chang,,,,
dtexsystems.com,Bahman Mahbod,,,linkedin.com/in/bahman-mahbod-82813b,USA
dtyunxi.com,Zhigang Bao,,,,CHN
ankorstore.com,Nicolas Cohen,,,,
ankorstore.com,Pierre Louis Lacoste,,,,
applyboard.com,Martin Basiri,,,,
applyboard.com,Meti Basiri,,,,
dxy.cn,Jin Zhang,,,linkedin.com/in/jinzhang1,CHN
dxy.cn,Tiantian Li,,,,
eacon.com,Shuisheng Lan,,,linkedin.com/in/%E6%B0%B4%E7%94%9F-%E8%93%9D-095654172,CHN
biomodal.com,Shankar Balasubramian,,,,
earlens.com,Dr. Rodney Perkins,,,,
earlens.com,William Facteau,,,linkedin.com/in/bill-facteau-5430042,USA
behavox.com,Slav Slavinski,,,,
bensonhill.com,Matt Crisp,,,,
bensonhill.com,Todd C. Mockler,,,,
berrygenomics.com,Ying Hou,,,,
bluespherebio.com,Mark Shlomchik,,,,
biontech.com,Christoph Huber,,,,
biontech.com,Ozlem Tureci,,,,
edgecore.com,Tom Ray,,,,USA
mobike.com,Weiwei Hu,,,,
mobike.com,Yan Zhang,,,,
edgemed.cn,Jianchen Wang,,,,CHN
edigene.com,Wei Dong,,,linkedin.com/in/dong-wei-66211b,CHN
bubble.io,Ashton Keys,,,,
edreamsodigeo.com,Dana Dunne,,,linkedin.com/in/danadunne,ESP
edreamsodigeo.com,Javier Perez Tenessa,,,,
bwin.com,Manfred Bodner,,,,
een.com,Dean Drako,,,,
efront.com,Ian Hogg,,,linkedin.com/in/ian-hogg-31b772,FRA
cardior.de,Sandor Batkai,,,,
eh2.com,Raffi Garabedian,,,linkedin.com/in/raffigarabedian,USA
morehealth.com,Bo Hu,,,,
eh2.com,Derek Warnick,,,,
eigencomm.com,Shi Liu,,,,CHN
eikontx.com,Roger Perlmutter,,,,USA
activefence.com,Alon Porat,,,,
ekolution.se,Naib Woldemariam,,,,
ekolution.se,Remi Loren,,,,
activefence.com,Eyal Dykan,,,,
activefence.com,Iftach Orr,,,,
activefence.com,Noam Schwartz,,,,
cellink.com,Erik Gatenholm,,,,
centerwellprimarycare.com,Mike Wortsman,,,,
electra-therapeutics.com,Adam Rosenthal,,twitter.com/ARosenthal711,linkedin.com/in/adam-rosenthal-2013109,USA
ele.me,Jia Kang,,,,
ele.me,Lei Wang,,,,CHN
elemy.com,Yury Yakubchyk,,,,
cheq.ai,Ehud Levy,,,,
chippercash.com,Patrick Triest,,,,
elevate.bio,David Hallal,,,linkedin.com/in/david-hallal-15a407116,USA
eliiypower.co.jp,hiroichi yoshida,,,,
eliiypower.co.jp,Hiroichi Yoshida,,,,JPN
mux.com,Matt McClure,,,,
cloudera.com,Jeff Hammerbacher,,,,
cloudera.com,Owen O'Malley,,,,
cloudflare.com,Michelle Zatlyn,,,,
clutch.ca,Stephen Seibel,,,,
mylaurelhealth.com,Justin Dangel,,,,
elucid.com,Andrew Buckler,,,,
elucid.com,Kelly Huang,,,linkedin.com/in/kelly-huang-phd,USA
embarkvet.com,Matt Salzberg,,,,
mysql.com,Michael Monty Widenius,,,,
mysql.com,Per-Eric Olsson,,,,
emendobio.com,Lior Izhar,,,,
emendobio.com,David Baram,,,linkedin.com/in/david-baram-aa6b2a3,USA
mysql.com,Allan Larsson,,,,
emendobio.com,Noam Diamant,,,,
constantcontact.com,Antonio Raimondo,,,,
empresstx.com,Jason Park,facebook.com/jason.park.372019,twitter.com/parkocity,linkedin.com/in/jason-park-8a3216a,USA
emulatebio.com,Daniel Levner,,,,
emulatebio.com,Jim Corbett,,,linkedin.com/in/jcorbettvh,USA
enable.com,Andrew Butt,,,,
crehana.com,Romina Flores,,,,
endclothing.com,Christiaan Ashworth,,,,
endclothing.com,John Douglas Parker,,,linkedin.com/in/john-parker-97372130,GBR
d1brands.io,Yaz Malas,,,,
enervenue.com,Yi Cui,,twitter.com/yicuistanford,linkedin.com/in/yi-cui-a287224,USA
enflame-tech.com,Lidong Zhao,,,linkedin.com/in/lidong-don-zhao-72540725,CHN
enflame-tech.com,Lidong (Don) Zhao,,,,
engrail.com,Stephen Cunningham,,,,
engrail.com,Vikram Sudarsan,,,,
deepki.com,Emmanuel BLANCHET,,,,
deepki.com,Vincent BRYANT,,,,
enlazatx.com,Sanford J. Madigan,,,linkedin.com/in/sandymadigan,USA
enlazatx.com,Sergio Duron,,,,
entactbio.com,Ueli Nachbur,facebook.com/ueli.nachbur,twitter.com/UNachbur,linkedin.com/in/ueli-nachbur-9428b484,USA
e-pi.com,Stuart Evans,,,,
e-pi.com,Timothy Burne,,twitter.com/timburne,linkedin.com/in/timburne,DEU
epicrispr.com,Amber Salzman,,,linkedin.com/in/ambersalzman,USA
druva.com,Jp Saini,,,,
eqrx.com,Melanie Nallicheri,,,linkedin.com/in/melanie-nallicheri-38149814,USA
equashield.com,Marino Kriheli,,,linkedin.com/in/marino-kriheli-b0b26125,USA
erasca.com,Jonathan Lim,,,,
erasca.com,"Jonathan Lim, M.D.",,,,
espressif.com,Swee-Ann Teo,,,,
establishmentlabs.com,Juan José,,,,
nymbus.com,Alex Lopatine,,,,
etq.com,Vick Viren Vaishnavi,facebook.com/vick.vaishnavi,twitter.com/v3vaishnavi,linkedin.com/in/vickvirenvaishnavi,USA
eikontx.com,Xavier Darzacq,,,,
euler.finance,Brandon Neal,,,linkedin.com/in/bcn-nyc,GBR
europeanenergy.com,Knud Erik Andersen,,,,
elevate.bio,David Hallala,,,,
elevate.bio,Mitchell H Finer,,,,
eventbrite.com,Simon Willison,,,linkedin.com/in/simonwillison,
everlywell.com,Julia Cheek,,,,
everlywell.com,Julia Taylor Cheek,,,linkedin.com/in/juliataylorcheek,USA
evernorth.com,Eric Palmer,,,linkedin.com/in/eric-palmer-6032948,USA
evernorth.com,Dr Steve Gurland,,,,
evommune.com,Luis Pena,,,linkedin.com/in/luis-pe%C3%B1a-3a845b1,USA
envision-group.com,Kevin Standish,,,,
epam.com,Arkadiy Dobkin,,,,
exabeam.com,Chris O'Malley,,twitter.com/chris_t_omalley,linkedin.com/in/christophertomalley,USA
open-co.com,Rafael Pereira,,,,
exohood.com,Jerzy Bogaczow,,x.com/jerzybogaczow,,GBR
exohood.com,Julio Arias,,,,
expensify.com,David Barrett,facebook.com/quinthar,twitter.com/quinthar,linkedin.com/in/davidmbarrett,USA
expensify.com,Witold Stankiewicz,,,,
evernorth.com,Randy Parker,,,,
evino.com.br,Ari Gorenstein,,,,
evino.com.br,Marcos Leal,,,,
extend.com,Woodrow H. Levin,,,linkedin.com/in/woodrowlevin,USA
extremenetworks.com,Ed Meyercord,,,linkedin.com/in/ed-meyercord,USA
exabeam.com,Sylvain Gil,,,,
exosfinancial.com,Brady Dougan,,,,
f5.com,Francois Locoh Donou,,,linkedin.com/in/fldonou,USA
f5.com,Jeff Hussey,,,,
fadada.com,Xiang Huang,,,,
fadada.com,Zhen Mei,,,,CHN
falconx.io,Prabhakar Reddy,,,,
falconx.io,Raghu Yarlagadda,,,,
fanaticsinc.com,Mike Mahan,,,,
farfetch.com,José Neves,,,,
fareye.com,Kushal Nahata,,,,
flipkart.com,Neha Kumar,,,,
frontiercargroup.com,Ricardo Donoso,,,,
fusionio.com,David Flynn,,,,
fusionio.com,Rick White,,,,
femtogenix.com,Paul Jackson,,,,
fenergo.com,Marc Murphy,,,,
get-carrot.com,Tammy Sun,,,,
fetchpackage.com,Henry Talamantes,,,,
fetchpackage.com,Michael Patton,,,,
figure.com,Michael Tannenbaum,facebook.com/profile.php?id=122365,,linkedin.com/in/michaeltannenbaum,USA
goqii.com,Champ Alreja,,,,
findoctave.com,Sandeep Acharya,,,,
place.com,Ben Kinney,,,,
place.com,Chris Suarez,,,,
fintecture.com,Faysal Oudmine,,,linkedin.com/in/faysal-oudmine-a3a75244,FRA
finxact.com,Frank Sanchez,,,linkedin.com/in/frsanchez,USA
fireblocks.com,Idan Ofrat,,,,
poly.ai,Tsung-Hsien Wen,,,,
fiture.com,Edward Fu,,,,
fiture.com,Yuhan Tang,,,,
five9.com,Rowan Trollope,,twitter.com/rowantrollope,linkedin.com/in/rowant,USA
fiveprime.com,Lewis (Rusty) Williams,,,linkedin.com/in/rusty-williams-b57438303,USA
fiveprime.com,Lewis Williams,,,,
ii.co.uk,Sherry Coutu,,,,
flaschenpost.de,Christopher Huesmann,,,,
flaschenpost.de,Dieter Büchl,,,,
flaretx.com,Robert Sims,,,,
flaschenpost.de,Niklas Plath,,,,
flaschenpost.de,Stephen Weich,,,,
indmoney.com,Ashish Kashyap,,,,
flechatequila.com,Aron Marquez,,twitter.com/aronhmarquez,,USA
flipkart.com,Kalyan Krishnamurthy,,twitter.com/_kalyan_k,linkedin.com/in/kalyankrishnamurthy,IND
flipsidecrypto.xyz,Dave Balter,facebook.com/dave.balter,twitter.com/DaveBalter,linkedin.com/pub/dave-balter/0/b3/b06,USA
flixbus.com,Friederike Reuter,,,,
flixbus.com,Jochen Engert,,,,
floqast.com,Cullen Zandstra,,,,
floqast.com,Michael Whitmire,,,,
floqast.com,Mike Whitmire,,,linkedin.com/in/michaelcwhitmire,USA
javararesearch.com,Amanda Wright,,,,
joinhoney.com,Rachel Zisser Kaplowitz,,,,
flutterwave.com,Olugbenga GB Agboola,,,linkedin.com/in/olugbeng,
kaiahealth.com,Gabriel Thomalla,,,,
flying-whales.com,Sebastien BOUGON,,,,
flying-whales.com,Sébastien Bougon,,,linkedin.com/in/sebastien-bougon-25bb6117,FRA
fly.io,Kurt Mackey,,,linkedin.com/in/mrkurt,USA
fly.io,Michael Dwan,,,,
fly.io,Thomas Ptacek,,,linkedin.com/in/thomasptacek,
flyzipline.com,Keller Rinaudo Cliffton,,twitter.com/KellerRinaudo,linkedin.com/in/keller-rinaudo-cliffton-0198b018,USA
bira91.com,Ankur Jain,,,,
pyramidanalytics.com,Avi Perez,,,,
pyramidanalytics.com,Omri Kohl,,,,
foreveroceans.com,Bill Bien,,,linkedin.com/in/billbien,USA
forgenano.com,David King,,,,
forgenano.com,Paul Lichty,,,linkedin.com/in/paul-lichty-251a5b1,USA
forte.io,Brett Seyler,,,,
forteraglobal.com,Samir Kaul,,,,
forterro.com,Dean Forbes,,twitter.com/DeanForbes,linkedin.com/in/deforbes,USA
forterro.com,Jeff Tognoni,,,,
fortnox.se,Tommy Eklund,,,linkedin.com/in/tommyeklundist,SWE
forwardx.com,Nicolas Chee,,,,
quralis.com,Kevin Eggan,,,,
linear.app,Karri SaarineN,,,,
fountain.com,Magla Akter,,,,
fountain.com,Keith Ryu,,,linkedin.com/in/kibaekr,
fountain.com,Sean Behr,facebook.com/seanbehr,twitter.com/seanbehr,linkedin.com/in/seanbehr,USA
fourkites.com,Arun Chandrasekaran,,,,
fourkites.com,Mathew Joseph Elenjickal,facebook.com/mathew.elenjickal,twitter.com/matt_elenjickal,linkedin.com/in/mattelenjickal,USA
atai.life,Lars Christian Wilde,,,,
atai.life,Srinivas Rao,,,,
loft.com.br,Kristian Huber,,,,
lyndra.com,Andrew Bellinger,,,,
at-bay.com,Etai Hochman,,,,
macrogenics.com,Alan Aderem,,,,
freetrade.io,Davide Fioranelli,,,,
at-bay.com,Rotem Iram,,,,
at-bay.com,Tilli Klisky,,,,
freshly.com,Alberto Lopez Toledo,,,linkedin.com/in/albertolopeztoledo,USA
freshly.com,Alberto Toledo,,,,
redhat.com,Philippe Chambadal,,,,
frontiercargroup.com,Daniel J. Esponda,,,,
fronteratherapeutics.com,Xinyan Li,,,,USA
fronteratherapeutics.com,Yong Dai,,,,
mcmakler.de,Hanno Heintzenberg,,,,
frubana.com,Fabian Gomez Gutierrez,,,,
fulltruckalliance.com,Peter Hui Zhang,,,,
fulltruckalliance.com,Zhang Hui,,,,CHN
mercury.com,Kristina Getty,,,,
functionofbeauty.com,Alexandra Papazian,,,linkedin.com/in/alexandrapapazian,USA
functionofbeauty.com,Joshua Maciejewski,,,,
merqueo.com,Miguel Mc Allister,,,,
fundbox.com,Tomer Michaeli,,,,
fundbox.com,Prashant Fuloria,facebook.com/prashant,twitter.com/pfuloria,linkedin.com/in/fuloria,USA
fundingcircle.com,Neil Rimer,,twitter.com/narimer,linkedin.com/in/neilrimer,GBR
fundourselves.com,Nadeem Siam,,,,
fusionio.com,Steve Wozniak,facebook.com/SteveWozniak,twitter.com/stevewoz,linkedin.com/in/wozniaksteve,USA
future.co,Justin Santamaria,,,,
futurefarm.io,Alexandre Ruberti,,,linkedin.com/in/alexandreruberti,USA
mimecast.com,Peter Bauer,,,,
mindtickle.com,Mohit Garg,,,,
mindtickle.com,Deepak Diwakar,,,,
m-kopa.com,Jesse Moore,,,,
gaiaworkforce.com,Alex Zhang,,,,
gaiaworkforce.com,Simpson Zhang,,,,
morehealth.com,Hope Lewis,,,,
movableink.com,Paul Dix,,,,
movableink.com,Vivek Sharma,,,,
gambolpet.com,Qin Hua,,,,CHN
games24x7.com,Bhavin Pandya,,,linkedin.com/in/bkpandya,IND
gatik.ai,Apeksha Kumavat,,,,
gatik.ai,Gautam Narang,,,,
geekplus.com,Kai Liu,,,,
geekplus.com,Yong Zheng,,,linkedin.com/in/yong-zheng-85506229,CHN
gelato.com,Henrik Müller-Hansen,,,linkedin.com/in/henrikmullerhansen,NOR
geltor.com,Alexander Lorestani,,,,
geltor.com,Nick Ouzounov,,,,
netapp.com,Michiaki Kono,,,,
generalfusion.com,Greg Twinney,,twitter.com/gtwinney,linkedin.com/in/gregtwinney,CAN
generalfusion.com,Michel Laberge,,,,
genesistrading.com,Anton Yermolenko,facebook.com/yermolenko.anton,,linkedin.com/in/ale02,USA
genies.com,Akash Nigam,facebook.com/akash.nigam,twitter.com/akashrnigam,linkedin.com/in/akash-nigam,USA
genmab.com,Jan van de Winkel,,,,
genmarkdx.com,Scott Mendel,,,,
genomatica.com,Christophe Schilling,,,,
genvid.com,Chris Cross,,twitter.com/CoffeeWithCross,linkedin.com/in/chris-cross-2a59735,USA
genvid.com,Christopher Cataldi,,,,
genvid.com,Fabien Ninoles,,,,
geopura.com,Andrew Cunningham,,,,
geopura.com,James Ferrier,,,linkedin.com/in/james-ferrier-788871106/?originalSubdomain=uk,GBR
salsify.com,Benoit Portoleau,,,,
atlan.com,Prukalpa Sankar,,,,
atlan.com,Varun Banka,,,,
getfabric.com,Elram Goren,,,,
getflex.com,Shragie Lichtenstein,,,linkedin.com/in/shragie,USA
ofo.com,Dai Wei,,,,
getir.com,Ronny Shibley,,,,
getir.com,Selin Aral,,,linkedin.com/in/selin-barlin-aral-4b3b7b10,TUR
omass.com,Idlir Liko,,,,
getmoss.com,Anton Rummel,,,,
getmoss.com,Stephan Haslebacher,,,,
sciphermedicine.com,Alif Saleh,,,,
getquip.com,Bill May,,,,
getquip.com,Simon Enever,,,,
open-co.com,Caroline McBride,,,,
openenglish.com,Andres Moreno,,,,
getsquire.com,Dave Salvant,,,linkedin.com/in/davesalvant,
gett.com,Mark Oun,,,linkedin.com/pub/mark-oun/53/643/578,GBR
sei.io,Jayendra Jog,,,,
sei.io,Jeffrey Feng,,,,
ouster.com,Angus Pacala,,,,
ouster.com,Eric Younge,,,,
ouster.com,Mark Frichtl,,,,
outsideinc.com,Greg Thomas,,,,
atlassian.com,Garret Heaton,,,,
atlassian.com,Mike Cannon-Brookes,,,,
palleonpharma.com,Paul Crocker,,,,
paloaltonetworks.com,Nikesh Arora,,,,
gladly.com,Joseph Ansanelli,,,,
gladly.com,Michael Wolfe,,,,
glassdoor.com,Erik Blachford,facebook.com,twitter.com/erikbl,linkedin.com/in/eblach,USA
atlassian.com,Scott Farquhar,,,,
glasspoint.com,David Allsworth,,,,USA
gloat.com,Amichai Schreiber,,,,
globalcollect.com,Gregory Leos,,,,NLD
patpat.com,Can Gao,,,,
global-fashion-group.com,Patrick Schmidt,,,linkedin.com/in/patrickoliverschmidt,LUX
globallogic.com,Volodymyr Shymanskyy,,,,
globant.com,Néstor Nocetti,,,,
peak.com,Hakan Bas,,,,
peak.com,Safa Sofuoglu,,,,
glooko.com,Mike Alvarez,,x.com/mikealv91863403,linkedin.com/in/mike-alvarez-6626ba8,USA
glooko.com,Yogen Dalal,,,,
glovoapp.com,Gerard Olivé,,,,
