iter	MultiClass
0	0.692901521
1	0.6926298287
2	0.6925442063
3	0.692291875
4	0.6918147736
5	0.6915575693
6	0.6910436056
7	0.6908082798
8	0.6907570909
9	0.6905580206
10	0.6903320733
11	0.6899681284
12	0.6898330429
13	0.6896583959
14	0.6894568807
15	0.6893180992
16	0.6888790437
17	0.6887696787
18	0.6885519294
19	0.6882806445
20	0.6879442924
21	0.6877549184
22	0.6875871466
23	0.6873110792
24	0.6872455675
25	0.6869348819
26	0.6867490103
27	0.6864256052
28	0.6863615593
29	0.6860099817
30	0.6860034244
31	0.6858378915
32	0.6855609523
33	0.6850845462
34	0.6849092569
35	0.6845669902
36	0.6844498654
37	0.6843035768
38	0.6839613836
39	0.6837341486
40	0.6834336478
41	0.6831462003
42	0.6830195059
43	0.6829551408
44	0.68266683
45	0.6824589971
46	0.6822168415
47	0.6819001609
48	0.6817142726
49	0.6813935908
50	0.6811552559
51	0.680981427
52	0.6808431358
53	0.6804205778
54	0.6800559874
55	0.6800090741
56	0.6797355999
57	0.6793638706
58	0.6790761752
59	0.6789019933
60	0.678588192
61	0.6783071669
62	0.6781325569
63	0.677966083
64	0.6777643369
65	0.677669554
66	0.6775112792
67	0.6770231692
68	0.6768473743
69	0.6763225346
70	0.6759930541
71	0.6759004066
72	0.6757265069
73	0.6756009998
74	0.6752967389
75	0.6751198096
76	0.6748116286
77	0.6745262861
78	0.6743661187
79	0.6741242406
80	0.673890438
81	0.6735811217
82	0.6733843278
83	0.6731433887
84	0.6731413848
85	0.6730352697
86	0.6728667074
87	0.6726300248
88	0.6724535754
89	0.6722916725
90	0.6722191962
91	0.6720375537
92	0.6717578134
93	0.671500098
94	0.6713648156
95	0.6712484669
96	0.671003713
97	0.6705948256
98	0.6703798116
99	0.6701282304
100	0.6699252042
101	0.6696912551
102	0.6693383406
103	0.669070855
104	0.6688368124
105	0.6686693009
106	0.6686186292
107	0.6681951037
108	0.6681885873
109	0.6678140897
110	0.6675956414
111	0.6674146756
112	0.6671440824
113	0.6669389864
114	0.6667817682
115	0.6666536597
116	0.6664246591
117	0.66618791
118	0.6659072895
119	0.6658178506
120	0.6656514992
121	0.6654259469
122	0.6653110428
123	0.6650353717
124	0.6648984736
125	0.6646223357
126	0.6646123941
127	0.6642436788
128	0.6639998985
129	0.6638674343
130	0.6636872689
131	0.6635170143
132	0.6635130523
133	0.6634118007
134	0.6631140802
135	0.6629841017
136	0.6627884057
137	0.6626426649
138	0.6624899873
139	0.662236923
140	0.6619611899
141	0.6618494842
142	0.6616156792
143	0.6612761679
144	0.6610470607
145	0.6609286095
146	0.6607674347
147	0.6605279789
148	0.6602397425
149	0.659960901
150	0.6598797071
151	0.659706504
152	0.6595946775
153	0.6594542611
154	0.6592052682
155	0.6590901626
156	0.6589653055
157	0.6587122442
158	0.6586475435
159	0.6585769403
160	0.6584726442
161	0.6583238534
162	0.6580955306
163	0.6579281676
164	0.6577960227
165	0.6575885222
166	0.657581846
167	0.6575333701
168	0.6572359901
169	0.6570653357
170	0.6568999975
171	0.6568051756
172	0.6566070219
173	0.6564703342
174	0.6562481208
175	0.6561676192
176	0.6558669073
