iter	MultiClass
177	0.6556728617
178	0.6556725394
179	0.6554240072
180	0.6554083301
181	0.6552204496
182	0.6551115499
183	0.6550770983
184	0.6549354287
185	0.6547482411
186	0.6544296461
187	0.6544257906
188	0.6542567849
189	0.654194634
190	0.6539796255
191	0.6538730232
192	0.6536083929
193	0.6533878116
194	0.6533838233
195	0.6532589085
196	0.6531805524
197	0.6530175195
198	0.6527385184
199	0.6526363871
200	0.6525026504
201	0.6524368996
202	0.6522013246
203	0.6519396621
204	0.6518596884
205	0.651758478
206	0.6516136568
207	0.6514550586
208	0.6512352531
209	0.6510838962
210	0.6509687224
211	0.650887583
212	0.6506590313
213	0.6505040241
214	0.650321999
215	0.6502587154
216	0.6501896705
217	0.6499690076
218	0.6497034547
219	0.6495920208
220	0.6494903932
221	0.6494246672
222	0.6491122304
223	0.6487917008
224	0.6486066884
225	0.6483965089
226	0.6482710914
227	0.6480019541
228	0.6478699339
229	0.6477470525
230	0.6474301729
231	0.647363596
232	0.6473144812
233	0.6471576955
234	0.647050914
235	0.6468233724
236	0.6466089102
237	0.6464193864
238	0.6461940329
239	0.6461288337
240	0.6459982329
241	0.6459117102
242	0.6458185966
243	0.6456841291
244	0.6453672889
245	0.6452525248
246	0.6449915215
247	0.6447083553
248	0.6444515908
249	0.6443478057
250	0.6443407594
251	0.6441583811
252	0.6441043421
253	0.6438613458
254	0.6437823364
255	0.6435307721
256	0.6433713287
257	0.6431937841
258	0.6430375169
259	0.642767926
260	0.6425222813
261	0.6423208681
262	0.6421797972
263	0.6420054168
264	0.6418138189
265	0.6415906679
266	0.6414548741
267	0.6412204457
268	0.6410135547
269	0.6409048879
270	0.6408086692
271	0.640725255
272	0.6405584839
273	0.6403716441
274	0.6401227928
275	0.6399526876
276	0.6397690679
277	0.6396393417
278	0.6394409573
279	0.6391358751
280	0.638996491
281	0.6388007828
282	0.6386079854
283	0.638604785
284	0.638466382
285	0.6384111091
286	0.6382311209
287	0.6379936469
288	0.6377365112
289	0.6375219802
290	0.6373089907
291	0.6369723321
292	0.6369182702
293	0.6368071297
294	0.6366827077
295	0.6364356016
296	0.6361959217
297	0.6360238453
298	0.6357768026
299	0.6357368363
300	0.6355202876
301	0.6355134662
302	0.6353317229
303	0.6349953366
304	0.6348835272
305	0.6347779676
306	0.6346205053
307	0.6344044834
308	0.6341873119
309	0.6341415009
310	0.6340940349
311	0.6340185416
312	0.633829001
313	0.6336899797
314	0.6336755466
315	0.6334751444
316	0.6334479521
317	0.6332906596
318	0.6331432639
319	0.6329382865
320	0.6327886635
321	0.6325839685
322	0.6324796271
323	0.632394332
324	0.6321868574
325	0.6319456103
326	0.6316519687
327	0.631523566
328	0.6313781417
329	0.6311819507
330	0.6310666843
331	0.6309220449
332	0.6306824447
333	0.6304067127
334	0.6301453936
335	0.6300313968
336	0.6299347261
337	0.6297115915
338	0.6295373757
339	0.6294575472
340	0.6292621844
341	0.6291903657
342	0.6289765274
343	0.6287460826
344	0.6285427824
345	0.6283927348
346	0.6282831058
347	0.6280373594
348	0.6279833521
349	0.6278470942
350	0.6275985392
351	0.6275517386
352	0.6272096106
353	0.6269845857
354	0.6268129664
355	0.6267012625
356	0.6265587321
357	0.6262957472
358	0.6261316445
359	0.626065874
360	0.6258593158
361	0.6257722309
362	0.6255789029
363	0.6255731584
364	0.6253768807
365	0.6252296641
366	0.6251032388
367	0.6249265866
368	0.6247744979
369	0.6246935497
370	0.6244889655
371	0.6244315937
372	0.6242599843
373	0.6239818496
374	0.6239041915
375	0.6237575825
376	0.6235998948
377	0.623379967
378	0.6231430347
379	0.6229619049
380	0.6229009134
381	0.6228440492
382	0.6227642821
383	0.6225303845
384	0.6224005888
385	0.6221976029
386	0.6220285367
387	0.6217870044
388	0.6216605892
389	0.6214157531
390	0.6212695099
391	0.6211010768
392	0.6210506801
393	0.6208525163
394	0.6208103536
395	0.6205238559
396	0.6204401666
397	0.6203653262
398	0.6202434301
399	0.6201156543
400	0.6199096287
401	0.6197366929
402	0.6194909042
403	0.6193635793
404	0.6191631561
405	0.6190730464
406	0.6189354244
407	0.6187662116
408	0.6186992066
409	0.6185596664
410	0.6184700615
411	0.6182885991
412	0.6181736579
413	0.6181260406
414	0.6179540196
415	0.6177660503
416	0.6176090266
417	0.61748535
418	0.6173939058
419	0.617210588
420	0.6170444955
421	0.6168002122
422	0.6166146074
423	0.6164283661
424	0.6162636094
425	0.6161183093
426	0.6159163311
427	0.6157031908
428	0.6156159047
429	0.6154802948
430	0.6153329523
431	0.6150976452
432	0.6150976448
433	0.6148767681
434	0.6148423534
435	0.6147364279
436	0.6145427954
437	0.6143231093
438	0.6142859242
439	0.6141827269
440	0.6141751633
441	0.6140000353
442	0.6138230146
443	0.6135851637
444	0.6133251404
445	0.6132634109
446	0.6131197617
447	0.6130278263
448	0.6129719634
449	0.6128805497
450	0.612791873
451	0.61271262
452	0.6126003506
453	0.6123339995
454	0.6122247203
455	0.612130321
456	0.6120514587
457	0.6120241658
458	0.6119155713
459	0.6116599022
460	0.6114181686
461	0.6114181683
462	0.6113758221
463	0.6111862911
464	0.6109755119
465	0.6109469699
466	0.6108093714
467	0.6106406115
468	0.6105314737
469	0.6103732297
470	0.6102119122
471	0.6102046604
472	0.6101409298
473	0.6100333463
474	0.6100053544
475	0.6098422178
476	0.6097124332
477	0.6096636455
478	0.6095912976
479	0.609480359
480	0.6093403082
481	0.6091978549
482	0.6091537054
483	0.6090490601
484	0.6087521634
485	0.6085355285
486	0.6084264179
487	0.608270197
488	0.6081086811
489	0.6079261268
490	0.6078090036
491	0.607649331
492	0.6075659915
493	0.6073784961
494	0.6072345075
495	0.6069866729
496	0.6067490308
497	0.6066508132
498	0.6064740964
499	0.6063359636
